Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Wayne Gretzky,L,C,1487,894,1963,2857,520,577,1.92,617,1818,204,890,73,149,2,91,5088,18,--,49
Jaromir Jagr,L,R,1733,766,1155,1921,322,1167,1.11,538,1296,217,610,11,15,19,135,5637,14,--,25
Mark Messier,L,C,1756,694,1193,1887,211,1912,1.07,452,1162,179,581,63,144,8,92,4221,16,--,55
Gordie Howe,R,R,1767,801,1049,1850,160,1685,1.05,566,1250,211,564,24,36,0,121,3803,--,--,--
Ron Francis,L,C,1731,549,1249,1798,-18,977,1.04,349,1040,188,727,12,31,4,79,3756,15,--,55
Marcel Dionne,R,C,1348,731,1040,1771,27,600,1.31,478,1098,234,643,19,30,2,73,5363,14,--,--
Steve Yzerman,R,C,1514,692,1063,1755,184,924,1.16,440,1077,202,595,50,83,9,94,4602,15,--,57
Mario Lemieux,R,C,915,690,1033,1723,114,834,1.88,405,951,236,701,49,71,11,74,3633,19,--,49
Joe Sakic,L,C,1378,625,1016,1641,30,614,1.19,388,961,205,631,32,49,7,86,4621,14,--,52
Phil Esposito,L,C,1282,717,873,1590,252,910,1.24,448,1006,246,549,23,35,0,118,5166,14,--,--
Ray Bourque,L,D,1612,410,1169,1579,527,1141,0.98,221,774,173,761,16,44,5,60,6209,7,--,0
Joe Thornton,L,C,1714,430,1109,1539,182,1272,0.90,278,979,146,548,6,12,9,68,3068,14,1,53
Mark Recchi,L,R,1652,577,956,1533,0,1033,0.93,359,932,200,569,18,32,6,91,3820,15,--,48
Paul Coffey,L,D,1409,396,1135,1531,298,1802,1.09,241,816,135,664,20,51,1,43,4389,9,--,--
Sidney Crosby,L,C,1190,550,952,1502,210,783,1.26,384,954,162,537,4,11,20,87,3794,15,1,52
Alex Ovechkin,R,L,1347,822,663,1485,67,797,1.10,518,926,299,553,5,6,25,124,6355,13,1,34
Stan Mikita,R,C,1396,541,926,1467,329,1264,1.05,379,987,150,462,12,18,0,84,4482,--,--,--
Teemu Selanne,R,R,1451,684,773,1457,95,660,1.00,422,860,255,588,7,9,9,110,4540,15,--,47
Bryan Trottier,L,C,1279,524,901,1425,449,912,1.11,344,963,161,423,19,39,1,69,2841,18,--,--
Adam Oates,R,C,1337,341,1079,1420,33,415,1.06,226,872,103,513,12,35,5,56,2392,14,--,58
Doug Gilmour,L,C,1474,450,964,1414,129,1301,0.96,279,882,153,488,18,44,3,56,2834,16,--,53
Dale Hawerchuk,L,C,1188,518,891,1409,-98,740,1.19,324,818,182,568,12,23,4,49,3754,14,--,--
Jari Kurri,R,R,1251,601,797,1398,304,545,1.12,407,921,155,395,39,82,7,72,3149,19,--,36
Luc Robitaille,L,L,1431,668,726,1394,71,1177,0.97,418,881,247,507,3,6,7,89,3961,17,--,40
Brett Hull,R,R,1269,741,650,1391,23,458,1.10,456,827,265,536,20,28,12,110,4876,15,--,40
Mike Modano,L,C,1499,561,813,1374,114,926,0.92,375,834,157,493,29,47,9,92,4273,13,--,52
Johnny Bucyk,L,L,1540,556,813,1369,-7,493,0.89,393,922,159,443,4,4,0,92,3087,--,--,--
Brendan Shanahan,R,L,1524,656,698,1354,151,2489,0.89,396,810,237,507,23,37,12,109,5086,13,--,48
Guy Lafleur,R,R,1126,560,793,1353,446,399,1.20,403,928,154,420,3,5,0,98,3516,16,--,--
Mats Sundin,R,C,1346,564,785,1349,73,1093,1.00,373,840,160,453,31,56,15,96,4015,14,--,55
